,Year,Commodity Group,C03409V04104,Country,UNIT,VALUE
77777,2000,Dairy products and birds eggs (02),FI,Finland,Euro Thousand,0.0
77778,2000,Dairy products and birds eggs (02),FR,France,Euro Thousand,98327.0
77779,2000,Dairy products and birds eggs (02),GR,Greece,Euro Thousand,15296.0
77780,2000,Dairy products and birds eggs (02),HR,Croatia,Euro Thousand,0.0
77781,2000,Dairy products and birds eggs (02),HU,Hungary,Euro Thousand,0.0
77782,2000,Dairy products and birds eggs (02),IN,India,Euro Thousand,0.0
77783,2000,Dairy products and birds eggs (02),IT,Italy,Euro Thousand,43899.0
77784,2000,Dairy products and birds eggs (02),JP,Japan,Euro Thousand,1605.0
77785,2000,Dairy products and birds eggs (02),KR,South Korea,Euro Thousand,996.0
77786,2000,Dairy products and birds eggs (02),LT,Lithuania,Euro Thousand,0.0
77787,2000,Dairy products and birds eggs (02),LU,Luxembourg,Euro Thousand,0.0
77788,2000,Dairy products and birds eggs (02),LV,Latvia,Euro Thousand,0.0
77789,2000,Dairy products and birds eggs (02),MT,Malta,Euro Thousand,1542.0
77790,2000,Dairy products and birds eggs (02),MX,Mexico,Euro Thousand,20197.0
77791,2000,Dairy products and birds eggs (02),MY,Malaysia,Euro Thousand,10659.0
77792,2000,Dairy products and birds eggs (02),NL,Netherlands,Euro Thousand,149924.0
77793,2000,Dairy products and birds eggs (02),NO,Norway,Euro Thousand,21.0
77794,2000,Dairy products and birds eggs (02),PL,Poland,Euro Thousand,11.0
77795,2000,Dairy products and birds eggs (02),PT,Portugal,Euro Thousand,1517.0
77796,2000,Dairy products and birds eggs (02),RO,Romania,Euro Thousand,0.0
77797,2000,Dairy products and birds eggs (02),RU,Russia,Euro Thousand,913.0
77798,2000,Dairy products and birds eggs (02),SA,Saudi Arabia,Euro Thousand,3366.0
77799,2000,Dairy products and birds eggs (02),SE,Sweden,Euro Thousand,2160.0
77800,2000,Dairy products and birds eggs (02),SG,Singapore,Euro Thousand,891.0
77801,2000,Dairy products and birds eggs (02),SI,Slovenia,Euro Thousand,0.0
77802,2000,Dairy products and birds eggs (02),SK,Slovakia,Euro Thousand,0.0
77803,2000,Dairy products and birds eggs (02),TH,Thailand,Euro Thousand,12615.0
77804,2000,Dairy products and birds eggs (02),TR,Turkey,Euro Thousand,241.0
77805,2000,Dairy products and birds eggs (02),TW,Taiwan,Euro Thousand,3500.0
77806,2000,Dairy products and birds eggs (02),US,USA,Euro Thousand,16407.0
77807,2000,Dairy products and birds eggs (02),XB,Great Britain,Euro Thousand,330470.0
77808,2000,Dairy products and birds eggs (02),XI,Northern Ireland,Euro Thousand,42522.0
77809,2000,Dairy products and birds eggs (02),ZA,South Africa,Euro Thousand,4565.0
77810,2000,Dairy products and birds eggs (02),ZZEU99,EU country not specified,Euro Thousand,1.0
77811,2000,Dairy products and birds eggs (02),ZZWORX27,Other countries,Euro Thousand,127758.0
77812,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",AT,Austria,Euro Thousand,304.0
77813,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",AU,Australia,Euro Thousand,372.0
77814,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",BE,Belgium,Euro Thousand,3004.0
77815,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",BG,Bulgaria,Euro Thousand,2509.0
77816,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",BR,Brazil,Euro Thousand,0.0
77817,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",CA,Canada,Euro Thousand,3.0
77818,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",CH,Switzerland,Euro Thousand,799.0
77819,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",CN,China,Euro Thousand,1156.0
77820,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",CY,Cyprus,Euro Thousand,0.0
77821,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",CZ,Czech Republic,Euro Thousand,1004.0
77822,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",DE,Germany,Euro Thousand,30436.0
77823,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",DK,Denmark,Euro Thousand,1971.0
77824,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",EE,Estonia,Euro Thousand,0.0
77825,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",ES,Spain,Euro Thousand,47991.0
77826,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",FI,Finland,Euro Thousand,96.0
77827,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",FR,France,Euro Thousand,73704.0
77828,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",GR,Greece,Euro Thousand,323.0
77829,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",HR,Croatia,Euro Thousand,216.0
77830,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",HU,Hungary,Euro Thousand,18.0
77831,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",IN,India,Euro Thousand,0.0
77832,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",IT,Italy,Euro Thousand,28870.0
77833,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",JP,Japan,Euro Thousand,18351.0
77834,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",KR,South Korea,Euro Thousand,5091.0
77835,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",LT,Lithuania,Euro Thousand,15.0
77836,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",LU,Luxembourg,Euro Thousand,92.0
77837,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",LV,Latvia,Euro Thousand,0.0
77838,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",MT,Malta,Euro Thousand,396.0
77839,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",MX,Mexico,Euro Thousand,0.0
77840,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",MY,Malaysia,Euro Thousand,6.0
77841,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",NL,Netherlands,Euro Thousand,7375.0
77842,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",NO,Norway,Euro Thousand,168.0
77843,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",PL,Poland,Euro Thousand,7685.0
77844,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",PT,Portugal,Euro Thousand,1567.0
77845,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",RO,Romania,Euro Thousand,2147.0
77846,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",RU,Russia,Euro Thousand,2413.0
77847,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",SA,Saudi Arabia,Euro Thousand,0.0
77848,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",SE,Sweden,Euro Thousand,3521.0
77849,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",SG,Singapore,Euro Thousand,43.0
77850,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",SI,Slovenia,Euro Thousand,355.0
77851,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",SK,Slovakia,Euro Thousand,1692.0
77852,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",TH,Thailand,Euro Thousand,263.0
77853,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",TR,Turkey,Euro Thousand,55.0
77854,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",TW,Taiwan,Euro Thousand,34.0
77855,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",US,USA,Euro Thousand,809.0
77856,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",XB,Great Britain,Euro Thousand,49616.0
77857,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",XI,Northern Ireland,Euro Thousand,3567.0
77858,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",ZA,South Africa,Euro Thousand,0.0
77859,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",ZZEU99,EU country not specified,Euro Thousand,109.0
77860,2000,"Fish, crustaceans, molluscs and preparations thereof (03)",ZZWORX27,Other countries,Euro Thousand,25778.0
77861,2000,Cereals and cereal preparations (04),AT,Austria,Euro Thousand,0.0
77862,2000,Cereals and cereal preparations (04),AU,Australia,Euro Thousand,2.0
77863,2000,Cereals and cereal preparations (04),BE,Belgium,Euro Thousand,816.0
77864,2000,Cereals and cereal preparations (04),BG,Bulgaria,Euro Thousand,0.0
77865,2000,Cereals and cereal preparations (04),BR,Brazil,Euro Thousand,5946.0
77866,2000,Cereals and cereal preparations (04),CA,Canada,Euro Thousand,185.0
77867,2000,Cereals and cereal preparations (04),CH,Switzerland,Euro Thousand,0.0
77868,2000,Cereals and cereal preparations (04),CN,China,Euro Thousand,189.0
77869,2000,Cereals and cereal preparations (04),CY,Cyprus,Euro Thousand,62.0
77870,2000,Cereals and cereal preparations (04),CZ,Czech Republic,Euro Thousand,0.0
77871,2000,Cereals and cereal preparations (04),DE,Germany,Euro Thousand,3218.0
77872,2000,Cereals and cereal preparations (04),DK,Denmark,Euro Thousand,176.0
77873,2000,Cereals and cereal preparations (04),EE,Estonia,Euro Thousand,0.0
